[2017-08-11 14:21:52]Market: hk Code: 00006 Response:{u'\u5468\u606f\u7387': u'9.88%', u'\u6210\u4ea4\u989d': u'2.29\u4ebf', u'\u6700\u65b0\u4ef7': u'78.100', u'\u6628\u6536': u'78.100', u'\u6700\u4f4e': u'77.700', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'25.95', u'\u6210\u4ea4\u91cf': u'293.17\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'62.600', u'\u5e02\u503c': u'1667\u4ebf', u'\u6700\u9ad8': u'78.450', u'\u4eca\u5f00': u'78.000', u'52\u5468\u6700\u9ad8': u'78.800'}
[2017-08-11 14:21:52]Market: hk Code: 00047 Response:{u'\u5468\u606f\u7387': u'2.70%', u'\u6210\u4ea4\u989d': u'75.29\u4e07', u'\u6700\u65b0\u4ef7': u'0.230', u'\u6628\u6536': u'0.239', u'\u6700\u4f4e': u'0.227', u'\u6da8\u8dcc\u989d': u'-0.009', u'\u5e02\u76c8\u7387': u'18.25', u'\u6210\u4ea4\u91cf': u'326.40\u4e07', u'\u6da8\u8dcc\u7387': u'-3.77%', u'52\u5468\u6700\u4f4e': u'0.104', u'\u5e02\u503c': u'23.2\u4ebf', u'\u6700\u9ad8': u'0.236', u'\u4eca\u5f00': u'0.236', u'52\u5468\u6700\u9ad8': u'0.295'}
[2017-08-11 14:21:52]Market: hk Code: 00029 Response:{u'\u5468\u606f\u7387': u'0.72%', u'\u6210\u4ea4\u989d': u'74.80\u4e07', u'\u6700\u65b0\u4ef7': u'7.590', u'\u6628\u6536': u'7.790', u'\u6700\u4f4e': u'7.560', u'\u6da8\u8dcc\u989d': u'-0.200', u'\u5e02\u76c8\u7387': u'17.78', u'\u6210\u4ea4\u91cf': u'9.80\u4e07', u'\u6da8\u8dcc\u7387': u'-2.57%', u'52\u5468\u6700\u4f4e': u'4.210', u'\u5e02\u503c': u'17.1\u4ebf', u'\u6700\u9ad8': u'7.800', u'\u4eca\u5f00': u'7.800', u'52\u5468\u6700\u9ad8': u'9.350'}
[2017-08-11 14:21:52]Market: hk Code: 00025 Response:{u'\u5468\u606f\u7387': u'4.65%', u'\u6210\u4ea4\u989d': u'28.59\u4e07', u'\u6700\u65b0\u4ef7': u'12.900', u'\u6628\u6536': u'13.060', u'\u6700\u4f4e': u'12.860', u'\u6da8\u8dcc\u989d': u'-0.160', u'\u5e02\u76c8\u7387': u'7.21', u'\u6210\u4ea4\u91cf': u'2.21\u4e07', u'\u6da8\u8dcc\u7387': u'-1.23%', u'52\u5468\u6700\u4f4e': u'11.800', u'\u5e02\u503c': u'38.9\u4ebf', u'\u6700\u9ad8': u'13.000', u'\u4eca\u5f00': u'13.000', u'52\u5468\u6700\u9ad8': u'14.360'}
[2017-08-11 14:21:52]Market: hk Code: 00094 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'69.12\u4e07', u'\u6700\u65b0\u4ef7': u'0.840', u'\u6628\u6536': u'0.830', u'\u6700\u4f4e': u'0.800', u'\u6da8\u8dcc\u989d': u'+0.010', u'\u5e02\u76c8\u7387': u'140.00', u'\u6210\u4ea4\u91cf': u'82.00\u4e07', u'\u6da8\u8dcc\u7387': u'+1.20%', u'52\u5468\u6700\u4f4e': u'0.550', u'\u5e02\u503c': u'12.5\u4ebf', u'\u6700\u9ad8': u'0.880', u'\u4eca\u5f00': u'0.810', u'52\u5468\u6700\u9ad8': u'1.360'}
[2017-08-11 14:21:52]Market: hk Code: 00034 Response:{u'\u5468\u606f\u7387': u'7.14%', u'\u6210\u4ea4\u989d': u'47.01\u4e07', u'\u6700\u65b0\u4ef7': u'8.400', u'\u6628\u6536': u'8.560', u'\u6700\u4f4e': u'8.390', u'\u6da8\u8dcc\u989d': u'-0.160', u'\u5e02\u76c8\u7387': u'10.24', u'\u6210\u4ea4\u91cf': u'5.60\u4e07', u'\u6da8\u8dcc\u7387': u'-1.87%', u'52\u5468\u6700\u4f4e': u'7.010', u'\u5e02\u503c': u'98.8\u4ebf', u'\u6700\u9ad8': u'8.410', u'\u4eca\u5f00': u'8.400', u'52\u5468\u6700\u9ad8': u'8.940'}
[2017-08-11 14:21:52]Market: hk Code: 00050 Response:{u'\u5468\u606f\u7387': u'4.00%', u'\u6210\u4ea4\u989d': u'45.08\u4e07', u'\u6700\u65b0\u4ef7': u'9.010', u'\u6628\u6536': u'9.090', u'\u6700\u4f4e': u'9.000', u'\u6da8\u8dcc\u989d': u'-0.080', u'\u5e02\u76c8\u7387': u'13.65', u'\u6210\u4ea4\u91cf': u'5.00\u4e07', u'\u6da8\u8dcc\u7387': u'-0.88%', u'52\u5468\u6700\u4f4e': u'8.750', u'\u5e02\u503c': u'32.1\u4ebf', u'\u6700\u9ad8': u'9.090', u'\u4eca\u5f00': u'9.000', u'52\u5468\u6700\u9ad8': u'9.370'}
[2017-08-11 14:21:52]Market: hk Code: 00065 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'58.50\u4e07', u'\u6700\u65b0\u4ef7': u'0.285', u'\u6628\u6536': u'0.310', u'\u6700\u4f4e': u'0.280', u'\u6da8\u8dcc\u989d': u'-0.025', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'201.20\u4e07', u'\u6da8\u8dcc\u7387': u'-8.06%', u'52\u5468\u6700\u4f4e': u'0.200', u'\u5e02\u503c': u'4.3\u4ebf', u'\u6700\u9ad8': u'0.310', u'\u4eca\u5f00': u'0.310', u'52\u5468\u6700\u9ad8': u'0.610'}
[2017-08-11 14:21:52]Market: hk Code: 00008 Response:{u'\u5468\u606f\u7387': u'6.42%', u'\u6210\u4ea4\u989d': u'4128.17\u4e07', u'\u6700\u65b0\u4ef7': u'4.410', u'\u6628\u6536': u'4.440', u'\u6700\u4f4e': u'4.390', u'\u6da8\u8dcc\u989d': u'-0.030', u'\u5e02\u76c8\u7387': u'16.46', u'\u6210\u4ea4\u91cf': u'935.83\u4e07', u'\u6da8\u8dcc\u7387': u'-0.68%', u'52\u5468\u6700\u4f4e': u'4.150', u'\u5e02\u503c': u'340\u4ebf', u'\u6700\u9ad8': u'4.440', u'\u4eca\u5f00': u'4.410', u'52\u5468\u6700\u9ad8': u'5.730'}
[2017-08-11 14:21:52]Market: hk Code: 00037 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'6.21\u4e07', u'\u6700\u65b0\u4ef7': u'0.415', u'\u6628\u6536': u'0.425', u'\u6700\u4f4e': u'0.405', u'\u6da8\u8dcc\u989d': u'-0.010', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'15.20\u4e07', u'\u6da8\u8dcc\u7387': u'-2.35%', u'52\u5468\u6700\u4f4e': u'0.365', u'\u5e02\u503c': u'2.5\u4ebf', u'\u6700\u9ad8': u'0.415', u'\u4eca\u5f00': u'0.405', u'52\u5468\u6700\u9ad8': u'0.550'}
