[2017-08-10 18:08:47]Market: hk Code: 00004 Response:{u'\u5468\u606f\u7387': u'2.90%', u'\u6210\u4ea4\u989d': u'14.70\u4ebf', u'\u6700\u65b0\u4ef7': u'74.050', u'\u6628\u6536': u'79.650', u'\u6700\u4f4e': u'73.050', u'\u6da8\u8dcc\u989d': u'-5.600', u'\u5e02\u76c8\u7387': u'10.47', u'\u6210\u4ea4\u91cf': u'1977.00\u4e07', u'\u6da8\u8dcc\u7387': u'-7.03%', u'52\u5468\u6700\u4f4e': u'49.750', u'\u5e02\u503c': u'2248\u4ebf', u'\u6700\u9ad8': u'77.000', u'\u4eca\u5f00': u'76.700', u'52\u5468\u6700\u9ad8': u'77.000'}
[2017-08-10 18:08:47]Market: hk Code: 00002 Response:{u'\u5468\u606f\u7387': u'3.40%', u'\u6210\u4ea4\u989d': u'2.49\u4ebf', u'\u6700\u65b0\u4ef7': u'82.250', u'\u6628\u6536': u'82.000', u'\u6700\u4f4e': u'81.800', u'\u6da8\u8dcc\u989d': u'+0.250', u'\u5e02\u76c8\u7387': u'16.35', u'\u6210\u4ea4\u91cf': u'303.00\u4e07', u'\u6da8\u8dcc\u7387': u'+0.30%', u'52\u5468\u6700\u4f4e': u'70.800', u'\u5e02\u503c': u'2078\u4ebf', u'\u6700\u9ad8': u'82.350', u'\u4eca\u5f00': u'82.200', u'52\u5468\u6700\u9ad8': u'85.500'}
[2017-08-10 18:08:47]Market: hk Code: 00003 Response:{u'\u5468\u606f\u7387': u'2.36%', u'\u6210\u4ea4\u989d': u'1.50\u4ebf', u'\u6700\u65b0\u4ef7': u'14.860', u'\u6628\u6536': u'14.840', u'\u6700\u4f4e': u'14.820', u'\u6da8\u8dcc\u989d': u'+0.020', u'\u5e02\u76c8\u7387': u'25.75', u'\u6210\u4ea4\u91cf': u'1008.04\u4e07', u'\u6da8\u8dcc\u7387': u'+0.13%', u'52\u5468\u6700\u4f4e': u'12.064', u'\u5e02\u503c': u'2079\u4ebf', u'\u6700\u9ad8': u'14.900', u'\u4eca\u5f00': u'14.900', u'52\u5468\u6700\u9ad8': u'15.064'}
[2017-08-10 18:08:47]Market: hk Code: 00007 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'0', u'\u6700\u65b0\u4ef7': u'0.800', u'\u6628\u6536': u'0.810', u'\u6700\u4f4e': u'--', u'\u6da8\u8dcc\u989d': u'-0.010', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'0', u'\u6da8\u8dcc\u7387': u'-1.23%', u'52\u5468\u6700\u4f4e': u'0.650', u'\u5e02\u503c': u'20.2\u4ebf', u'\u6700\u9ad8': u'--', u'\u4eca\u5f00': u'--', u'52\u5468\u6700\u9ad8': u'1.050'}
[2017-08-10 18:08:47]Market: hk Code: 00042 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'170.63\u4e07', u'\u6700\u65b0\u4ef7': u'1.840', u'\u6628\u6536': u'1.890', u'\u6700\u4f4e': u'1.830', u'\u6da8\u8dcc\u989d': u'-0.050', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'92.20\u4e07', u'\u6da8\u8dcc\u7387': u'-2.65%', u'52\u5468\u6700\u4f4e': u'1.810', u'\u5e02\u503c': u'4.7\u4ebf', u'\u6700\u9ad8': u'1.890', u'\u4eca\u5f00': u'1.860', u'52\u5468\u6700\u9ad8': u'3.270'}
[2017-08-10 18:08:47]Market: hk Code: 00008 Response:{u'\u5468\u606f\u7387': u'6.38%', u'\u6210\u4ea4\u989d': u'3268.58\u4e07', u'\u6700\u65b0\u4ef7': u'4.440', u'\u6628\u6536': u'4.470', u'\u6700\u4f4e': u'4.400', u'\u6da8\u8dcc\u989d': u'-0.030', u'\u5e02\u76c8\u7387': u'16.57', u'\u6210\u4ea4\u91cf': u'739.92\u4e07', u'\u6da8\u8dcc\u7387': u'-0.67%', u'52\u5468\u6700\u4f4e': u'4.150', u'\u5e02\u503c': u'343\u4ebf', u'\u6700\u9ad8': u'4.470', u'\u4eca\u5f00': u'4.470', u'52\u5468\u6700\u9ad8': u'5.750'}
[2017-08-10 18:08:47]Market: hk Code: 00063 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'42.63\u4e07', u'\u6700\u65b0\u4ef7': u'0.550', u'\u6628\u6536': u'0.540', u'\u6700\u4f4e': u'0.510', u'\u6da8\u8dcc\u989d': u'+0.010', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'81.70\u4e07', u'\u6da8\u8dcc\u7387': u'+1.85%', u'52\u5468\u6700\u4f4e': u'0.415', u'\u5e02\u503c': u'15.5\u4ebf', u'\u6700\u9ad8': u'0.550', u'\u4eca\u5f00': u'0.520', u'52\u5468\u6700\u9ad8': u'0.960'}
[2017-08-10 18:08:47]Market: hk Code: 00057 Response:{u'\u5468\u606f\u7387': u'3.16%', u'\u6210\u4ea4\u989d': u'17.79\u4e07', u'\u6700\u65b0\u4ef7': u'2.280', u'\u6628\u6536': u'2.360', u'\u6700\u4f4e': u'2.260', u'\u6da8\u8dcc\u989d': u'-0.080', u'\u5e02\u76c8\u7387': u'27.80', u'\u6210\u4ea4\u91cf': u'7.80\u4e07', u'\u6da8\u8dcc\u7387': u'-3.39%', u'52\u5468\u6700\u4f4e': u'1.522', u'\u5e02\u503c': u'14.4\u4ebf', u'\u6700\u9ad8': u'2.300', u'\u4eca\u5f00': u'2.300', u'52\u5468\u6700\u9ad8': u'2.400'}
[2017-08-10 18:08:47]Market: hk Code: 00053 Response:{u'\u5468\u606f\u7387': u'4.21%', u'\u6210\u4ea4\u989d': u'516.39\u4e07', u'\u6700\u65b0\u4ef7': u'95.100', u'\u6628\u6536': u'95.900', u'\u6700\u4f4e': u'94.700', u'\u6da8\u8dcc\u989d': u'-0.800', u'\u5e02\u76c8\u7387': u'10.05', u'\u6210\u4ea4\u91cf': u'5.41\u4e07', u'\u6da8\u8dcc\u7387': u'-0.83%', u'52\u5468\u6700\u4f4e': u'83.600', u'\u5e02\u503c': u'313\u4ebf', u'\u6700\u9ad8': u'96.800', u'\u4eca\u5f00': u'95.500', u'52\u5468\u6700\u9ad8': u'96.800'}
[2017-08-10 18:08:47]Market: hk Code: 00052 Response:{u'\u5468\u606f\u7387': u'4.40%', u'\u6210\u4ea4\u989d': u'809.90\u4e07', u'\u6700\u65b0\u4ef7': u'32.300', u'\u6628\u6536': u'32.700', u'\u6700\u4f4e': u'32.150', u'\u6da8\u8dcc\u989d': u'-0.400', u'\u5e02\u76c8\u7387': u'20.01', u'\u6210\u4ea4\u91cf': u'25.05\u4e07', u'\u6da8\u8dcc\u7387': u'-1.22%', u'52\u5468\u6700\u4f4e': u'27.750', u'\u5e02\u503c': u'41.3\u4ebf', u'\u6700\u9ad8': u'32.650', u'\u4eca\u5f00': u'32.650', u'52\u5468\u6700\u9ad8': u'38.600'}
