[2017-08-11 15:16:21]Market: hk Code: 00089 Response:{u'\u5468\u606f\u7387': u'3.02%', u'\u6210\u4ea4\u989d': u'82.33\u4e07', u'\u6700\u65b0\u4ef7': u'5.300', u'\u6628\u6536': u'5.400', u'\u6700\u4f4e': u'5.280', u'\u6da8\u8dcc\u989d': u'-0.100', u'\u5e02\u76c8\u7387': u'4.08', u'\u6210\u4ea4\u91cf': u'15.50\u4e07', u'\u6da8\u8dcc\u7387': u'-1.85%', u'52\u5468\u6700\u4f4e': u'4.230', u'\u5e02\u503c': u'15.2\u4ebf', u'\u6700\u9ad8': u'5.370', u'\u4eca\u5f00': u'5.360', u'52\u5468\u6700\u9ad8': u'5.900'}
[2017-08-11 15:16:21]Market: hk Code: 00045 Response:{u'\u5468\u606f\u7387': u'1.50%', u'\u6210\u4ea4\u989d': u'2907.75\u4e07', u'\u6700\u65b0\u4ef7': u'12.680', u'\u6628\u6536': u'13.180', u'\u6700\u4f4e': u'12.600', u'\u6da8\u8dcc\u989d': u'-0.500', u'\u5e02\u76c8\u7387': u'29.49', u'\u6210\u4ea4\u91cf': u'226.76\u4e07', u'\u6da8\u8dcc\u7387': u'-3.79%', u'52\u5468\u6700\u4f4e': u'7.630', u'\u5e02\u503c': u'201\u4ebf', u'\u6700\u9ad8': u'13.120', u'\u4eca\u5f00': u'12.920', u'52\u5468\u6700\u9ad8': u'17.120'}
[2017-08-11 15:16:21]Market: hk Code: 00031 Response:{u'\u5468\u606f\u7387': u'2.02%', u'\u6210\u4ea4\u989d': u'281.67\u4e07', u'\u6700\u65b0\u4ef7': u'0.990', u'\u6628\u6536': u'0.990', u'\u6700\u4f4e': u'0.980', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'3.84', u'\u6210\u4ea4\u91cf': u'284.55\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.940', u'\u5e02\u503c': u'30.5\u4ebf', u'\u6700\u9ad8': u'1.000', u'\u4eca\u5f00': u'0.990', u'52\u5468\u6700\u9ad8': u'1.150'}
[2017-08-11 15:16:21]Market: hk Code: 00029 Response:{u'\u5468\u606f\u7387': u'0.72%', u'\u6210\u4ea4\u989d': u'311.58\u4e07', u'\u6700\u65b0\u4ef7': u'7.590', u'\u6628\u6536': u'7.790', u'\u6700\u4f4e': u'7.560', u'\u6da8\u8dcc\u989d': u'-0.200', u'\u5e02\u76c8\u7387': u'17.78', u'\u6210\u4ea4\u91cf': u'41.00\u4e07', u'\u6da8\u8dcc\u7387': u'-2.57%', u'52\u5468\u6700\u4f4e': u'4.210', u'\u5e02\u503c': u'17.1\u4ebf', u'\u6700\u9ad8': u'7.800', u'\u4eca\u5f00': u'7.800', u'52\u5468\u6700\u9ad8': u'9.350'}
[2017-08-11 15:16:21]Market: hk Code: 00047 Response:{u'\u5468\u606f\u7387': u'2.70%', u'\u6210\u4ea4\u989d': u'90.29\u4e07', u'\u6700\u65b0\u4ef7': u'0.230', u'\u6628\u6536': u'0.239', u'\u6700\u4f4e': u'0.227', u'\u6da8\u8dcc\u989d': u'-0.009', u'\u5e02\u76c8\u7387': u'18.25', u'\u6210\u4ea4\u91cf': u'391.60\u4e07', u'\u6da8\u8dcc\u7387': u'-3.77%', u'52\u5468\u6700\u4f4e': u'0.104', u'\u5e02\u503c': u'23.2\u4ebf', u'\u6700\u9ad8': u'0.236', u'\u4eca\u5f00': u'0.236', u'52\u5468\u6700\u9ad8': u'0.295'}
[2017-08-11 15:16:21]Market: hk Code: 00036 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'16.85\u4e07', u'\u6700\u65b0\u4ef7': u'0.640', u'\u6628\u6536': u'0.640', u'\u6700\u4f4e': u'0.630', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'26.40\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.630', u'\u5e02\u503c': u'7.0\u4ebf', u'\u6700\u9ad8': u'0.670', u'\u4eca\u5f00': u'0.630', u'52\u5468\u6700\u9ad8': u'1.710'}
[2017-08-11 15:16:21]Market: hk Code: 00077 Response:{u'\u5468\u606f\u7387': u'6.41%', u'\u6210\u4ea4\u989d': u'1.56\u4e07', u'\u6700\u65b0\u4ef7': u'1.560', u'\u6628\u6536': u'1.580', u'\u6700\u4f4e': u'1.560', u'\u6da8\u8dcc\u989d': u'-0.020', u'\u5e02\u76c8\u7387': u'13.79', u'\u6210\u4ea4\u91cf': u'1.00\u4e07', u'\u6da8\u8dcc\u7387': u'-1.27%', u'52\u5468\u6700\u4f4e': u'1.320', u'\u5e02\u503c': u'4.2\u4ebf', u'\u6700\u9ad8': u'1.560', u'\u4eca\u5f00': u'1.560', u'52\u5468\u6700\u9ad8': u'1.680'}
[2017-08-11 15:16:21]Market: hk Code: 00080 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'8.18\u4e07', u'\u6700\u65b0\u4ef7': u'0.146', u'\u6628\u6536': u'0.146', u'\u6700\u4f4e': u'0.146', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'1.33', u'\u6210\u4ea4\u91cf': u'56.00\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.145', u'\u5e02\u503c': u'1.1\u4ebf', u'\u6700\u9ad8': u'0.146', u'\u4eca\u5f00': u'0.146', u'52\u5468\u6700\u9ad8': u'0.540'}
[2017-08-11 15:16:21]Market: hk Code: 00024 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'109.67\u4e07', u'\u6700\u65b0\u4ef7': u'0.200', u'\u6628\u6536': u'0.203', u'\u6700\u4f4e': u'0.198', u'\u6da8\u8dcc\u989d': u'-0.003', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'549.00\u4e07', u'\u6da8\u8dcc\u7387': u'-1.48%', u'52\u5468\u6700\u4f4e': u'0.155', u'\u5e02\u503c': u'9.9\u4ebf', u'\u6700\u9ad8': u'0.203', u'\u4eca\u5f00': u'0.200', u'52\u5468\u6700\u9ad8': u'0.255'}
[2017-08-11 15:16:21]Market: hk Code: 00065 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'62.26\u4e07', u'\u6700\u65b0\u4ef7': u'0.285', u'\u6628\u6536': u'0.310', u'\u6700\u4f4e': u'0.280', u'\u6da8\u8dcc\u989d': u'-0.025', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'214.40\u4e07', u'\u6da8\u8dcc\u7387': u'-8.06%', u'52\u5468\u6700\u4f4e': u'0.200', u'\u5e02\u503c': u'4.3\u4ebf', u'\u6700\u9ad8': u'0.310', u'\u4eca\u5f00': u'0.310', u'52\u5468\u6700\u9ad8': u'0.610'}
