[2017-08-11 14:28:39]Market: hk Code: 00095 Response:{u'\u5468\u606f\u7387': u'2.38%', u'\u6210\u4ea4\u989d': u'547.57\u4e07', u'\u6700\u65b0\u4ef7': u'2.100', u'\u6628\u6536': u'2.160', u'\u6700\u4f4e': u'2.070', u'\u6da8\u8dcc\u989d': u'-0.060', u'\u5e02\u76c8\u7387': u'11.06', u'\u6210\u4ea4\u91cf': u'258.00\u4e07', u'\u6da8\u8dcc\u7387': u'-2.78%', u'52\u5468\u6700\u4f4e': u'1.870', u'\u5e02\u503c': u'98.6\u4ebf', u'\u6700\u9ad8': u'2.170', u'\u4eca\u5f00': u'2.160', u'52\u5468\u6700\u9ad8': u'2.640'}
[2017-08-11 14:28:39]Market: hk Code: 00094 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'69.12\u4e07', u'\u6700\u65b0\u4ef7': u'0.840', u'\u6628\u6536': u'0.830', u'\u6700\u4f4e': u'0.800', u'\u6da8\u8dcc\u989d': u'+0.010', u'\u5e02\u76c8\u7387': u'140.00', u'\u6210\u4ea4\u91cf': u'82.00\u4e07', u'\u6da8\u8dcc\u7387': u'+1.20%', u'52\u5468\u6700\u4f4e': u'0.550', u'\u5e02\u503c': u'12.5\u4ebf', u'\u6700\u9ad8': u'0.880', u'\u4eca\u5f00': u'0.810', u'52\u5468\u6700\u9ad8': u'1.360'}
[2017-08-11 14:28:39]Market: hk Code: 00067 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'--', u'\u6700\u65b0\u4ef7': u'1.250', u'\u6628\u6536': u'1.250', u'\u6700\u4f4e': u'--', u'\u6da8\u8dcc\u989d': u'--', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'--', u'\u6da8\u8dcc\u7387': u'--', u'52\u5468\u6700\u4f4e': u'0.000', u'\u5e02\u503c': u'70.0\u4ebf', u'\u6700\u9ad8': u'--', u'\u4eca\u5f00': u'--', u'52\u5468\u6700\u9ad8': u'0.000'}
[2017-08-11 14:28:39]Market: hk Code: 00089 Response:{u'\u5468\u606f\u7387': u'3.02%', u'\u6210\u4ea4\u989d': u'66.43\u4e07', u'\u6700\u65b0\u4ef7': u'5.290', u'\u6628\u6536': u'5.400', u'\u6700\u4f4e': u'5.280', u'\u6da8\u8dcc\u989d': u'-0.110', u'\u5e02\u76c8\u7387': u'4.07', u'\u6210\u4ea4\u91cf': u'12.50\u4e07', u'\u6da8\u8dcc\u7387': u'-2.04%', u'52\u5468\u6700\u4f4e': u'4.230', u'\u5e02\u503c': u'15.2\u4ebf', u'\u6700\u9ad8': u'5.370', u'\u4eca\u5f00': u'5.360', u'52\u5468\u6700\u9ad8': u'5.900'}
[2017-08-11 14:28:40]Market: hk Code: 00075 Response:{u'\u5468\u606f\u7387': u'155.10%', u'\u6210\u4ea4\u989d': u'0', u'\u6700\u65b0\u4ef7': u'2.450', u'\u6628\u6536': u'2.450', u'\u6700\u4f4e': u'--', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'5.51', u'\u6210\u4ea4\u91cf': u'0', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'2.280', u'\u5e02\u503c': u'19.6\u4ebf', u'\u6700\u9ad8': u'--', u'\u4eca\u5f00': u'--', u'52\u5468\u6700\u9ad8': u'6.750'}
[2017-08-11 14:28:40]Market: hk Code: 00103 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'11.79\u4e07', u'\u6700\u65b0\u4ef7': u'0.265', u'\u6628\u6536': u'0.275', u'\u6700\u4f4e': u'0.260', u'\u6da8\u8dcc\u989d': u'-0.010', u'\u5e02\u76c8\u7387': u'50.00', u'\u6210\u4ea4\u91cf': u'44.40\u4e07', u'\u6da8\u8dcc\u7387': u'-3.64%', u'52\u5468\u6700\u4f4e': u'0.190', u'\u5e02\u503c': u'5.1\u4ebf', u'\u6700\u9ad8': u'0.275', u'\u4eca\u5f00': u'0.275', u'52\u5468\u6700\u9ad8': u'0.365'}
[2017-08-11 14:28:40]Market: hk Code: 00082 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'119.88\u4e07', u'\u6700\u65b0\u4ef7': u'0.260', u'\u6628\u6536': u'0.270', u'\u6700\u4f4e': u'0.260', u'\u6da8\u8dcc\u989d': u'-0.010', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'454.32\u4e07', u'\u6da8\u8dcc\u7387': u'-3.70%', u'52\u5468\u6700\u4f4e': u'0.185', u'\u5e02\u503c': u'8.6\u4ebf', u'\u6700\u9ad8': u'0.270', u'\u4eca\u5f00': u'0.270', u'52\u5468\u6700\u9ad8': u'0.435'}
[2017-08-11 14:28:40]Market: hk Code: 00080 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'8.18\u4e07', u'\u6700\u65b0\u4ef7': u'0.146', u'\u6628\u6536': u'0.146', u'\u6700\u4f4e': u'0.146', u'\u6da8\u8dcc\u989d': u'0.000', u'\u5e02\u76c8\u7387': u'1.33', u'\u6210\u4ea4\u91cf': u'56.00\u4e07', u'\u6da8\u8dcc\u7387': u'0.00%', u'52\u5468\u6700\u4f4e': u'0.145', u'\u5e02\u503c': u'1.1\u4ebf', u'\u6700\u9ad8': u'0.146', u'\u4eca\u5f00': u'0.146', u'52\u5468\u6700\u9ad8': u'0.540'}
[2017-08-11 14:28:40]Market: hk Code: 00093 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'6.65\u4e07', u'\u6700\u65b0\u4ef7': u'0.830', u'\u6628\u6536': u'0.820', u'\u6700\u4f4e': u'0.810', u'\u6da8\u8dcc\u989d': u'+0.010', u'\u5e02\u76c8\u7387': u'--', u'\u6210\u4ea4\u91cf': u'8.20\u4e07', u'\u6da8\u8dcc\u7387': u'+1.22%', u'52\u5468\u6700\u4f4e': u'0.510', u'\u5e02\u503c': u'16.2\u4ebf', u'\u6700\u9ad8': u'0.830', u'\u4eca\u5f00': u'0.810', u'52\u5468\u6700\u9ad8': u'0.880'}
[2017-08-11 14:28:40]Market: hk Code: 00098 Response:{u'\u5468\u606f\u7387': u'--', u'\u6210\u4ea4\u989d': u'214.74\u4e07', u'\u6700\u65b0\u4ef7': u'5.190', u'\u6628\u6536': u'5.450', u'\u6700\u4f4e': u'5.140', u'\u6da8\u8dcc\u989d': u'-0.260', u'\u5e02\u76c8\u7387': u'6.58', u'\u6210\u4ea4\u91cf': u'41.10\u4e07', u'\u6da8\u8dcc\u7387': u'-4.77%', u'52\u5468\u6700\u4f4e': u'2.610', u'\u5e02\u503c': u'21.7\u4ebf', u'\u6700\u9ad8': u'5.450', u'\u4eca\u5f00': u'5.450', u'52\u5468\u6700\u9ad8': u'5.890'}
